"start_station_id","start_station_lat","start_station_lon"
"CBD-06",47.60595,-122.335768
"CBD-04",47.609221,-122.335596
"CBD-13",47.610185,-122.339641
"PS-05",47.598994,-122.329684
"BT-03",47.615829,-122.348564
"CBD-07",47.603509,-122.330409
"ID-04",47.598488,-122.326412
"WF-01",47.614315,-122.354093
"CH-07",47.61533,-122.311752
"SLU-19",47.622277,-122.35523
"SLU-18",47.618285,-122.342205
"BT-05",47.61311,-122.344208
"FH-01",47.607281,-122.324783
"BT-01",47.618418,-122.350964
"SLU-04",47.623165,-122.338203
"SLU-02",47.627735,-122.342232
"SLU-15",47.613628,-122.337341
"CH-01",47.618633,-122.325249
"CH-02",47.622063,-122.321251
"CBD-05",47.604058,-122.3358
"BT-04",47.616094,-122.341102
"WF-04",47.607702,-122.34165
"SLU-07",47.61832,-122.338913
"SLU-23",47.62720866,-122.3396301
"PS-04",47.600757,-122.332946
"SLU-16",47.613715,-122.331777
"CH-08",47.615486,-122.318245
"CH-09",47.615517,-122.322083
"CH-12",47.615456,-122.326729
"SLU-21",47.624769,-122.339408
"SLU-01",47.619859,-122.330304
"SLU-20",47.61626,-122.333815
"EL-01",47.627643,-122.332576
"CH-15",47.624142,-122.316811
"DPD-01",47.624298,-122.339617
"EL-03",47.634831,-122.326634
"CBD-03",47.610731,-122.332447
"UW-06",47.654613,-122.304863
"FH-04",47.609239,-122.316651
"UD-04",47.656395,-122.31562
"CH-06",47.618549,-122.317017
"CH-05",47.620712,-122.312805
"CH-03",47.623367,-122.325279
"EL-05",47.64909,-122.322983
"CH-16",47.61863956,-122.3207769
"WF-03",47.61137028,-122.3487015
"CD-01",47.602103,-122.316923
"UD-01",47.666145,-122.301491
"UW-04",47.65559,-122.31189
"UD-07",47.663143,-122.315086
"SLU-22",47.62087853,-122.3473769
"UD-02",47.658288,-122.313334
"UW-02",47.659756,-122.310402
"UW-10",47.650725,-122.311188
"DPD-03",47.663509,-122.284119
"UW-11",47.64995155,-122.3062634
"UW-07",47.653713,-122.302162
"UW-12",47.64907701,-122.3041177
"UW-01",47.660268,-122.304826
