start_station_id,start_station_lat,start_station_lon,Bus_station_number,Subway_station_number
2,37.329732,-121.901782,8,0
3,37.330698,-121.888979,8,0
4,37.333988,-121.894902,9,0
5,37.331415,-121.8932,6,0
6,37.336721,-121.894074,6,0
7,37.333798,-121.886943,9,0
8,37.330165,-121.885831,4,0
9,37.348742,-121.894715,0,0
10,37.337391,-121.886995,9,0
11,37.335885,-121.88566,9,0
12,37.332808,-121.883891,7,0
13,37.339301,-121.889937,8,0
14,37.332692,-121.900084,8,0
16,37.333955,-121.877349,2,0
21,37.481758,-122.226904,7,0
22,37.486078,-122.232089,6,0
23,37.487616,-122.229951,4,0
24,37.484219,-122.227424,5,0
25,37.48537,-122.203288,4,0
26,37.487682,-122.223492,5,0
27,37.389218,-122.081896,7,0
28,37.394358,-122.076713,7,0
29,37.40694,-122.106758,2,0
30,37.395337,-122.052476,5,0
31,37.400443,-122.108338,4,0
32,37.385956,-122.083678,6,0
33,37.420909,-122.080623,1,0
34,37.443988,-122.164759,13,0
35,37.444521,-122.163093,11,0
36,37.429082,-122.142805,4,0
37,37.448598,-122.159504,12,0
38,37.4256839,-122.1377775,6,0
39,37.783871,-122.408433,5,0
41,37.795001,-122.39997,9,3
42,37.79728,-122.398436,4,2
45,37.794231,-122.402923,8,1
46,37.795425,-122.404767,7,2
47,37.788975,-122.403452,10,1
48,37.799953,-122.398525,3,3
49,37.790302,-122.390637,7,0
50,37.795392,-122.394203,10,1
51,37.791464,-122.391034,6,2
54,37.787152,-122.388013,4,1
55,37.789756,-122.394643,13,0
56,37.792251,-122.397086,12,2
57,37.781752,-122.405127,6,2
58,37.77865,-122.418235,4,1
59,37.781332,-122.418603,5,1
60,37.80477,-122.403234,4,1
61,37.780526,-122.390288,2,0
62,37.785299,-122.396236,9,0
63,37.786978,-122.398108,10,1
64,37.782259,-122.392738,4,2
65,37.771058,-122.402717,4,0
66,37.774814,-122.418954,4,0
67,37.776619,-122.417385,3,1
68,37.784878,-122.401014,10,1
69,37.7766,-122.39547,4,2
70,37.776617,-122.39526,4,0
71,37.788446,-122.408499,4,0
72,37.781039,-122.411748,5,2
73,37.7979,-122.405942,6,2
74,37.794139,-122.394434,10,0
75,37.7913,-122.399051,11,2
76,37.786305,-122.404966,6,2
77,37.789625,-122.400811,13,2
80,37.352601,-121.905733,4,3
82,37.798541,-122.400862,5,0
83,37.491269,-122.236234,5,1
84,37.342725,-121.895617,0,0
88,37.331957,-121.88163,5,0
89,37.332398,-121.890429,9,0
90,37.780148,-122.403158,5,0
91,37.785908,-122.408891,5,1
