start_station_id,start_station_lat,start_station_lon,Bus_station_number,Subway_station_number
72,40.76727216,-73.99392888,0,0
79,40.71911552,-74.00666661,3,1
82,40.71117416,-74.00016545,12,4
83,40.68382604,-73.97632328,3,2
116,40.74177603,-74.00149746,4,2
119,40.69608941,-73.97803415,0,2
120,40.68676793,-73.95928168,1,1
127,40.73172428,-74.00674436,1,1
128,40.72710258,-74.00297088,0,3
137,40.761628,-73.972924,1,4
143,40.69239502,-73.99337909,3,6
144,40.69839895,-73.98068914,1,3
146,40.71625008,-74.0091059,5,2
147,40.71542197,-74.01121978,10,3
150,40.7208736,-73.98085795,0,4
151,40.7218158,-73.99720307,0,0
152,40.71473993,-74.00910627,12,7
153,40.75206231,-73.9816324,2,4
157,40.69089272,-73.99612349,2,8
160,40.748238,-73.978311,1,2
161,40.72917025,-73.99810231,0,2
164,40.75323098,-73.97032517,1,5
167,40.7489006,-73.97604882,1,2
168,40.73971301,-73.99456405,1,3
173,40.76064679,-73.98442659,2,1
174,40.7381765,-73.97738662,0,7
195,40.70905623,-74.01043382,8,0
212,40.74334935,-74.00681753,0,7
216,40.70037867,-73.99548059,1,1
217,40.70277159,-73.99383605,0,3
218,40.69028437,-73.98707105,1,4
223,40.73781509,-73.99994661,2,3
224,40.71146364,-74.00552427,13,2
225,40.74195138,-74.00803013,1,5
228,40.7546011,-73.97187886,2,1
229,40.72743423,-73.99379025,0,3
232,40.69597683,-73.99014892,1,4
233,40.69246277,-73.98963911,1,5
236,40.7284186,-73.98713956,1,3
237,40.73047309,-73.98672378,1,2
238,40.7361967,-74.00859207,1,1
239,40.69196566,-73.9813018,2,3
241,40.68981035,-73.97493121,1,2
242,40.69788349,-73.97350332,0,1
243,40.687979,-73.978474,4,0
244,40.69196035,-73.96536851,0,3
245,40.69327018,-73.97703874,0,1
247,40.73535398,-74.00483091,1,1
248,40.72185379,-74.00771779,3,3
249,40.71870987,-74.0090009,8,3
250,40.72456089,-73.99565293,0,3
251,40.72317958,-73.99480012,0,5
252,40.73226398,-73.99852205,1,6
253,40.73543934,-73.99453948,1,3
254,40.73532427,-73.99800419,2,1
255,40.646768,-74.01651,3,3
257,40.71939226,-74.00247214,2,1
258,40.68940747,-73.96885458,1,5
259,40.70122128,-74.01234218,7,2
260,40.70365182,-74.01167797,11,4
261,40.69474881,-73.98362464,1,5
262,40.69178232,-73.97372989,2,4
263,40.71729,-73.996375,1,1
264,40.70706456,-74.00731853,13,6
265,40.72229346,-73.99147535,0,6
266,40.72368361,-73.97574813,0,5
267,40.75097711,-73.98765428,6,0
268,40.71910537,-73.99973337,1,7
270,40.69308257,-73.97178913,0,6
271,40.68528172,-73.97805813,3,1
274,40.68691865,-73.976682,3,2
275,40.68650065,-73.96563307,0,2
276,40.71748752,-74.0104554,10,2
278,40.69766564,-73.98476437,1,3
279,40.69986937,-73.98271933,1,3
280,40.73331967,-73.99510132,1,2
281,40.7643971,-73.97371465,0,2
282,40.70827295,-73.96834101,0,6
284,40.73901691,-74.00263761,2,0
285,40.73454567,-73.99074142,2,2
289,40.6845683,-73.95881081,3,1
290,40.76020258,-73.96478473,0,1
291,40.713126,-73.984844,0,2
293,40.73028666,-73.9907647,1,1
294,40.73049393,-73.9957214,0,1
295,40.71406667,-73.99293911,1,3
296,40.71413089,-73.9970468,4,2
297,40.734232,-73.986923,1,3
298,40.68683208,-73.9796772,2,1
300,40.728145,-73.990214,1,3
301,40.72217444,-73.98368779,0,3
302,40.72082834,-73.97793172,0,1
303,40.72362738,-73.99949601,0,0
304,40.70463334,-74.01361706,10,7
305,40.76095756,-73.96724467,0,5
306,40.70823502,-74.00530063,10,4
307,40.71427487,-73.98990025,2,4
308,40.71307916,-73.99851193,7,3
309,40.7149787,-74.013012,12,2
310,40.68926942,-73.98912867,1,3
311,40.7172274,-73.98802084,1,2
312,40.722055,-73.989111,0,3
313,40.69610226,-73.96751037,0,5
314,40.69424674,-73.99215922,1,0
315,40.70355377,-74.00670227,10,5
316,40.70955958,-74.00653609,6,5
317,40.72453734,-73.98185424,0,6
318,40.75320159,-73.9779874,2,0
319,40.71336124,-74.00937622,12,5
320,40.71743998,-74.00583475,4,4
321,40.69991755,-73.98971773,1,4
322,40.696192,-73.991218,1,4
323,40.69236178,-73.98631746,2,6
324,40.689888,-73.981013,4,4
325,40.73624527,-73.98473765,1,2
326,40.72953837,-73.98426726,1,1
327,40.7153379,-74.01658354,3,2
328,40.72405549,-74.00965965,0,2
329,40.72043411,-74.01020609,4,2
330,40.71450451,-74.00562789,9,3
331,40.71173107,-73.99193043,1,5
332,40.71219906,-73.97948148,0,1
334,40.74238787,-73.99726235,3,0
335,40.72903917,-73.99404649,1,2
336,40.73047747,-73.99906065,0,3
337,40.7037992,-74.00838676,6,4
339,40.72580614,-73.97422494,0,5
340,40.71269042,-73.98776323,2,0
341,40.71782143,-73.97628939,0,2
342,40.71739973,-73.98016555,0,0
343,40.69794,-73.96986848,0,0
344,40.6851443,-73.95380904,4,0
345,40.73649403,-73.99704374,1,1
346,40.73652889,-74.00618026,1,3
347,40.72873888,-74.00748842,0,3
348,40.72490985,-74.00154702,0,3
349,40.71850211,-73.98329859,1,4
350,40.71559509,-73.9870295,2,2
351,40.70530954,-74.00612572,4,3
352,40.76340613,-73.97722479,1,5
353,40.68539567,-73.97431458,4,5
354,40.69363137,-73.96223558,0,3
355,40.71602118,-73.99974372,9,1
356,40.71622644,-73.98261206,0,5
357,40.73261787,-73.99158043,1,1
358,40.73291553,-74.00711384,1,0
359,40.75510267,-73.97498696,2,2
360,40.70717936,-74.00887308,8,4
361,40.71605866,-73.99190759,2,6
