start_station_id,start_station_lat,start_station_lon,Bus_station_number,Subway_station_number
3004,39.95378,-75.16374,0,0
3005,39.94733,-75.14403,5,5
3006,39.9522,-75.20311,0,2
3007,39.94517,-75.15993,5,1
3008,39.98082,-75.14973,3,2
3009,39.95576,-75.18982,0,0
3010,39.94711,-75.16618,0,2
3011,39.96046,-75.19701,0,5
3012,39.94217,-75.1775,0,2
3013,39.96317,-75.14792,2,0
3014,39.95886,-75.17369,0,0
3015,39.94759,-75.1487,8,0
3016,39.96892,-75.1547,4,3
3017,39.98003,-75.14371,3,0
3018,39.95273,-75.15979,8,0
3019,39.95403,-75.14983,12,7
3020,39.94887,-75.18986,0,4
3021,39.9539,-75.16902,0,1
3022,39.95472,-75.18323,0,4
3023,39.95048,-75.17286,0,1
3024,39.94822,-75.20908,2,1
3025,39.93724,-75.1612,0,0
3026,39.94138,-75.14564,2,1
3027,39.95708,-75.20177,0,0
3028,39.94061,-75.14958,2,1
3029,39.9538,-75.19479,0,0
3030,39.93935,-75.15716,1,2
3031,39.98005,-75.15522,4,0
3032,39.94527,-75.17971,0,1
3033,39.95005,-75.15672,10,0
3034,39.93315,-75.16248,0,7
3035,39.96271,-75.19419,0,2
3036,39.96844,-75.14001,1,1
3037,39.95424,-75.16138,13,1
3038,39.94781,-75.19409,0,5
3039,39.97121,-75.1597,3,0
3040,39.96289,-75.16606,0,0
3041,39.96849,-75.13546,1,2
3043,39.93082,-75.17474,2,1
3045,39.94792,-75.16237,12,2
3046,39.95012,-75.14472,6,5
3047,39.95071,-75.14921,8,2
3048,39.94221,-75.166,1,4
3049,39.94509,-75.1425,2,2
3050,39.95339,-75.15426,12,2
3051,39.96744,-75.17507,0,5
3052,39.94732,-75.15695,12,0
3053,39.93231,-75.18154,2,6
3054,39.9625,-75.1742,0,0
3055,39.95112,-75.15457,11,0
3056,39.97669,-75.15813,3,5
3057,39.96442,-75.17999,0,1
3058,39.96716,-75.17001,2,0
3059,39.96265,-75.16174,4,0
3060,39.95923,-75.17036,0,2
3061,39.95425,-75.17761,0,0
3062,39.95197,-75.17943,0,1
3063,39.94633,-75.1698,0,1
3064,39.9384,-75.17327,0,2
3065,39.9707,-75.15171,3,2
3066,39.94561,-75.17348,0,0
3067,39.96411,-75.19973,0,1
3068,39.93549,-75.16711,3,0
3069,39.93704,-75.15038,2,2
3070,39.96062,-75.13983,2,0
3071,39.96173,-75.18788,0,0
3072,39.93445,-75.14541,3,1
3073,39.96143,-75.15242,5,0
3074,39.95511,-75.20987,3,0
3075,39.96718,-75.16125,3,1
3077,39.97207,-75.16351,3,1
3078,39.95355,-75.17192,0,0
3086,39.94019,-75.16691,3,2
3088,39.96984,-75.1418,2,2
3093,39.98837,-75.18701,3,1
3095,39.98771,-75.18052,3,0
3096,39.99119,-75.17975,5,0
3097,39.97888,-75.13339,2,0
3098,39.93431,-75.16042,0,0
3099,39.93401,-75.15094,3,1
3100,39.92777,-75.15103,0,0
3101,39.94295,-75.15955,3,0
3102,39.96818,-75.18034,0,1
3103,39.97714,-75.1794,3,0
3104,39.96664,-75.19209,0,0
3105,39.96652,-75.12996,3,0
3106,39.99179,-75.18637,2,1
3107,39.98203,-75.18866,1,0
3108,39.95316,-75.16551,0,0
3109,39.97486,-75.20524,2,5
3110,39.96175,-75.13641,2,0
3111,39.97765,-75.21295,2,0
3112,39.95373,-75.21825,2,0
3113,39.97469,-75.19562,2,0
3114,39.93775,-75.18012,1,0
3115,39.97263,-75.16757,3,0
3117,39.978409,-75.223991,4,0
3118,39.95851,-75.21465,2,0
3119,39.96674,-75.20799,1,0
3120,39.97522,-75.18669,3,0
3121,39.97274,-75.17939,1,0
3122,39.98062,-75.1735,3,0
3123,39.98004,-75.17088,3,0
3124,39.95295,-75.13979,5,0
3125,39.94391,-75.16735,0,1
3129,39.94681,-75.19311,0,2
3150,39.928841,-75.170212,0,0
3152,39.94952,-75.20256,1,1
3153,39.97216,-75.129936,4,0
3154,39.95924,-75.158211,5,1
3156,39.953812,-75.174072,0,3
3157,39.925449,-75.159538,0,0
3158,39.925522,-75.169037,4,0
3159,39.95121,-75.199623,0,1
3160,39.956619,-75.198624,0,1
3161,39.954861,-75.180908,0,2
3162,39.94595,-75.184753,0,1
3163,39.949741,-75.180969,0,0
3170,39.94426,-75.181343,0,1
