start_station_id,start_station_lat,start_station_lon,Bus_station_number,Subway_station_number
CBD-06,47.60595,-122.335768,0,0
CBD-04,47.609221,-122.335596,0,0
CBD-13,47.610185,-122.339641,0,0
PS-05,47.598994,-122.329684,0,0
BT-03,47.615829,-122.348564,0,0
CBD-07,47.603509,-122.330409,0,0
ID-04,47.598488,-122.326412,0,0
WF-01,47.614315,-122.354093,0,0
CH-07,47.61533,-122.311752,0,0
SLU-19,47.622277,-122.35523,0,0
SLU-18,47.618285,-122.342205,0,0
BT-05,47.61311,-122.344208,0,0
FH-01,47.607281,-122.324783,0,0
BT-01,47.618418,-122.350964,0,0
SLU-04,47.623165,-122.338203,0,0
SLU-02,47.627735,-122.342232,0,0
SLU-15,47.613628,-122.337341,0,0
CH-01,47.618633,-122.325249,0,0
CH-02,47.622063,-122.321251,0,0
CBD-05,47.604058,-122.3358,0,0
BT-04,47.616094,-122.341102,0,0
WF-04,47.607702,-122.34165,0,0
SLU-07,47.61832,-122.338913,0,0
SLU-23,47.62720866,-122.3396301,0,0
PS-04,47.600757,-122.332946,0,0
SLU-16,47.613715,-122.331777,0,0
CH-08,47.615486,-122.318245,0,0
CH-09,47.615517,-122.322083,0,0
CH-12,47.615456,-122.326729,0,0
SLU-21,47.624769,-122.339408,0,0
SLU-01,47.619859,-122.330304,0,0
SLU-20,47.61626,-122.333815,0,0
EL-01,47.627643,-122.332576,0,0
CH-15,47.624142,-122.316811,0,0
DPD-01,47.624298,-122.339617,0,0
EL-03,47.634831,-122.326634,0,0
CBD-03,47.610731,-122.332447,0,0
UW-06,47.654613,-122.304863,0,0
FH-04,47.609239,-122.316651,0,0
UD-04,47.656395,-122.31562,0,0
CH-06,47.618549,-122.317017,0,0
CH-05,47.620712,-122.312805,0,0
CH-03,47.623367,-122.325279,0,0
EL-05,47.64909,-122.322983,0,0
CH-16,47.61863956,-122.3207769,0,0
WF-03,47.61137028,-122.3487015,0,0
CD-01,47.602103,-122.316923,0,0
UD-01,47.666145,-122.301491,0,0
UW-04,47.65559,-122.31189,0,0
UD-07,47.663143,-122.315086,0,0
SLU-22,47.62087853,-122.3473769,0,0
UD-02,47.658288,-122.313334,0,0
UW-02,47.659756,-122.310402,0,0
UW-10,47.650725,-122.311188,0,0
DPD-03,47.663509,-122.284119,0,0
UW-11,47.64995155,-122.3062634,0,0
UW-07,47.653713,-122.302162,0,0
UW-12,47.64907701,-122.3041177,0,0
UW-01,47.660268,-122.304826,0,0
